rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev
16,SEA,19,136,672730,Juan Then,11,0.95,48.1,33,16,16,13,48,2,145,187,,2.98,0,1,0,1,5,ALL (3)
16,TB,23,139,657746,Joe Ryan,24,0.84,123.2,77,34,27,27,183,7,371,481,,1.96,0,0,0,9,4,ALL (3)
16,NYY,23,147,663986,Trevor Stephan,20,1.44,80.0,86,46,42,29,91,5,240,354,,4.73,0,0,0,4,7,ALL (2)
17,WSH,21,,672851,Joan Adon,22,1.30,105.0,93,47,45,44,90,8,315,447,,3.86,0,0,1,11,3,A(Full)
17,ATL,21,144,681803,Trey Riley,17,1.99,58.2,71,53,50,46,41,4,176,286,,7.67,0,0,0,2,7,A(Full)
17,BAL,24,110,642060,Cody Sedlock,22,1.20,95.0,68,31,30,46,100,7,285,392,,2.84,1,0,1,5,3,ALL (2)
17,CLE,24,114,641900,Scott Moss,26,1.29,130.2,99,50,43,70,159,8,392,550,,2.96,0,0,0,10,6,ALL (3)
17,SEA,21,136,682227,Brandon Williamson,10,0.91,15.1,9,6,4,5,25,0,46,61,,2.35,0,1,0,0,0,A(Short)
17,MIA,23,146,660422,Jorge Guzman,25,1.20,138.2,96,54,54,71,127,13,416,562,,3.50,0,0,0,7,11,AA
17,NYY,21,147,674674,T.J. Sikkema,4,0.66,10.2,6,1,1,1,13,0,32,40,,0.84,0,0,0,0,0,A(Short)
17,TB,24,139,676617,Riley O'Brien,20,1.17,102.2,76,41,36,44,107,6,308,429,,3.16,0,0,0,7,6,ALL (2)
17,TOR,24,141,641907,Patrick Murphy,18,1.21,84.0,75,53,44,27,86,7,252,364,,4.71,0,0,0,4,7,AA
17,PIT,20,134,675651,Steven Jennings,27,1.33,130.0,134,83,68,39,115,15,390,550,,4.71,0,0,0,7,12,A(Full)
17,COL,24,115,640465,Robert Tyler,28,1.95,28.2,36,28,26,20,36,4,86,143,,8.16,1,1,0,1,0,A(Adv)
17,CIN,21,113,669436,Jacob Heatherly,4,2.08,8.2,12,9,8,6,10,0,26,47,,8.31,0,0,0,1,2,A(Full)
17,ANA,20,108,666668,Hector Yan,26,1.16,109.0,74,45,41,52,148,5,327,458,,3.39,1,0,0,4,5,A(Full)
17,SF,24,137,669214,Conner Menez,29,1.25,136.0,110,65,61,60,173,21,408,569,,4.04,0,0,0,6,5,ALL (3)
18,SF,23,137,663941,Tristan Beck,16,1.45,81.1,87,40,36,31,90,3,244,345,,3.98,0,0,0,5,4,ALL (3)
18,COL,24,115,664875,Justin Lawrence,38,2.05,37.0,47,38,36,29,32,4,111,185,,8.76,0,6,3,1,5,ALL (2)
18,CWS,24,145,669424,Jimmy Lambert,11,1.50,59.1,62,31,30,27,70,11,178,259,,4.55,0,0,0,3,4,AA
18,BAL,21,110,669724,Brenan Hanifee,24,1.42,129.0,126,73,66,57,78,12,387,566,,4.60,0,0,0,9,10,A(Adv)
18,TB,25,139,630105,Jake Cronenworth,7,1.64,7.1,4,2,0,8,9,0,22,34,,0.00,0,0,0,0,0,AAA
18,PIT,20,134,673231,Tahnaj Thomas,12,1.12,48.1,40,22,17,14,59,5,145,200,,3.17,0,0,0,2,3,ROA
18,STL,21,138,667373,Angel Rondon,28,1.15,160.0,125,56,52,59,159,14,480,660,,2.93,0,0,0,11,7,ALL (2)
18,LAA,22,,661383,Oliver Ortega,26,1.32,111.0,90,62,51,57,135,8,333,474,,4.14,2,0,0,4,8,ALL (2)
18,SEA,19,136,677644,Brayan Perez,15,1.31,67.1,71,31,25,17,62,4,202,280,,3.34,0,0,1,8,2,ALL (2)
18,MIN,25,142,624427,Stephen Gonsalves,8,1.23,13.0,9,7,6,7,21,3,39,55,,4.15,0,1,0,0,2,ALL (3)
18,PHI,23,143,663982,David Parkinson,22,1.23,119.0,107,56,54,39,118,10,357,487,,4.08,0,0,0,10,9,AA
18,DET,25,116,608335,Kyle Funkhouser,23,1.68,92.0,97,72,65,58,98,5,276,423,,6.36,0,0,0,6,8,ALL (3)
19,ANA,23,108,676886,Jeremy Beasley,26,1.45,122.1,129,68,61,48,115,14,367,540,,4.49,0,0,0,7,7,ALL (2)
19,SF,21,137,669690,Blake Rivera,18,1.39,75.0,63,42,36,41,87,3,225,328,,4.32,0,1,0,4,7,ALL (2)
19,HOU,23,117,656981,Peter Solomon,3,1.50,8.2,8,2,2,5,16,1,26,38,,2.08,0,0,0,0,0,A(Adv)
19,CWS,24,145,656592,Tyler Johnson,22,0.99,31.1,21,10,9,10,43,4,94,125,,2.59,0,3,0,2,1,ALL (3)
19,MIL,24,158,657096,Braden Webb,21,1.43,64.1,44,39,34,48,61,5,193,284,,4.76,0,0,0,2,8,ALL (4)
19,CHC,20,112,672442,Yovanny Cruz,9,1.65,23.2,20,21,17,19,28,3,71,116,,6.46,0,0,0,1,2,ALL (2)
19,MIA,23,146,656548,Jordan Holloway,21,1.51,95.0,77,53,47,66,93,6,285,422,,4.45,0,0,0,4,11,A(Adv)
19,TEX,19,140,678692,Ronny Henriquez,21,1.44,82.0,91,50,41,27,99,6,246,357,,4.50,0,0,0,6,6,A(Full)
19,COL,24,115,641714,Reid Humphreys,4,4.33,3.0,11,5,5,2,2,0,9,22,,15.00,0,0,2,0,1,AA
